title,authors,abstract,summary,paper_url,pdf_url,date
Human Misperception of Generative-AI Alignment: A Laboratory Experiment,"Kevin He, Ran Shorrer, Mengjia Xia","We conduct an incentivized laboratory experiment to study people's perception
of generative artificial intelligence (GenAI) alignment in the context of
economic decision-making. Using a panel of economic problems spanning the
domains of risk, time preference, social preference, and strategic
interactions, we ask human subjects to make choices for themselves and to
predict the choices made by GenAI on behalf of a human user. We find that
people overestimate the degree of alignment between GenAI's choices and human
choices. In every problem, human subjects' average prediction about GenAI's
choice is substantially closer to the average human-subject choice than it is
to the GenAI choice. At the individual level, different subjects' predictions
about GenAI's choice in a given problem are highly correlated with their own
choices in the same problem. We explore the implications of people
overestimating GenAI alignment in a simple theoretical model.","We conduct an incentivized laboratory experiment to study people's perception
of generative artificial intelligence (GenAI) alignment in the context of
economic decision-making. Using a panel of economic problems spanning the
domains of risk, time preference, social preference, and strategic
interactions, we ask human subjects to make choices for themselves and to
predict the choices made by GenAI on behalf of a human user. We find that
people overestimate the degree of alignment between GenAI's choices and human
choices. In every problem, human subjects' average prediction about GenAI's
choice is substantially closer to the average human-subject choice than it is
to the GenAI choice. At the individual level, different subjects' predictions
about GenAI's choice in a given problem are highly correlated with their own
choices in the same problem. We explore the implications of people
overestimating GenAI alignment in a simple theoretical model.",http://arxiv.org/abs/2502.14708v1,http://arxiv.org/pdf/2502.14708v1.pdf,2025-02-20 16:32:42+00:00
"Explanations of Deep Language Models Explain Language Representations in
  the Brain","Maryam Rahimi, Yadollah Yaghoobzadeh, Mohammad Reza Daliri","Recent advances in artificial intelligence have given rise to large language
models (LLMs) that not only achieve human-like performance but also share
computational principles with the brain's language processing mechanisms. While
previous research has primarily focused on aligning LLMs' internal
representations with neural activity, we introduce a novel approach that
leverages explainable AI (XAI) methods to forge deeper connections between the
two domains. Using attribution methods, we quantified how preceding words
contribute to an LLM's next-word predictions and employed these explanations to
predict fMRI recordings from participants listening to the same narratives. Our
findings demonstrate that attribution methods robustly predict brain activity
across the language network, surpassing traditional internal representations in
early language areas. This alignment is hierarchical: early-layer explanations
correspond to the initial stages of language processing in the brain, while
later layers align with more advanced stages. Moreover, the layers more
influential on LLM next-word prediction$\unicode{x2014}$those with higher
attribution scores$\unicode{x2014}$exhibited stronger alignment with neural
activity. This work establishes a bidirectional bridge between AI and
neuroscience. First, we demonstrate that attribution methods offer a powerful
lens for investigating the neural mechanisms of language comprehension,
revealing how meaning emerges from preceding context. Second, we propose using
brain alignment as a metric to evaluate the validity of attribution methods,
providing a framework for assessing their biological plausibility.","Recent advances in artificial intelligence have given rise to large language
models (LLMs) that not only achieve human-like performance but also share
computational principles with the brain's language processing mechanisms. While
previous research has primarily focused on aligning LLMs' internal
representations with neural activity, we introduce a novel approach that
leverages explainable AI (XAI) methods to forge deeper connections between the
two domains. Using attribution methods, we quantified how preceding words
contribute to an LLM's next-word predictions and employed these explanations to
predict fMRI recordings from participants listening to the same narratives. Our
findings demonstrate that attribution methods robustly predict brain activity
across the language network, surpassing traditional internal representations in
early language areas. This alignment is hierarchical: early-layer explanations
correspond to the initial stages of language processing in the brain, while
later layers align with more advanced stages. Moreover, the layers more
influential on LLM next-word prediction$\unicode{x2014}$those with higher
attribution scores$\unicode{x2014}$exhibited stronger alignment with neural
activity. This work establishes a bidirectional bridge between AI and
neuroscience. First, we demonstrate that attribution methods offer a powerful
lens for investigating the neural mechanisms of language comprehension,
revealing how meaning emerges from preceding context. Second, we propose using
brain alignment as a metric to evaluate the validity of attribution methods,
providing a framework for assessing their biological plausibility.",http://arxiv.org/abs/2502.14671v1,http://arxiv.org/pdf/2502.14671v1.pdf,2025-02-20 16:05:45+00:00
"Augmenting Coaching with GenAI: Insights into Use, Effectiveness, and
  Future Potential",Jennifer Haase,"The integration of generative AI (GenAI) tools, particularly large language
models (LLMs), is transforming professional coaching workflows. This study
explores how coaches use GenAI, the perceived benefits and limitations of these
tools, and broader attitudes toward AI-assisted coaching. A survey of 205
coaching professionals reveals widespread adoption of GenAI for research,
content creation, and administrative support, while its role in relational and
interpretative coaching remains limited. Findings indicate that AI literacy and
perceived AI impact strongly predict GenAI adoption, with positive attitudes
fostering greater use. Ethical considerations, particularly transparency and
data privacy, are a key concern, with frequent AI users demonstrating greater
ethical awareness. Regression analyses show that while perceived effectiveness
drives GenAI adoption, concerns about AI replacing human coaches do not
significantly influence usage. Coaches express interest in future AI
capabilities that enhance personalization, real-time feedback, and
administrative automation while maintaining human oversight. The study
highlights that GenAI functions best as an augmentation tool rather than a
replacement, emphasizing the need for AI literacy training, ethical guidelines,
and human-centered AI integration. These findings contribute to the ongoing
discourse on human-AI collaboration, advocating for responsible and effective
AI adoption in professional coaching.","The integration of generative AI (GenAI) tools, particularly large language
models (LLMs), is transforming professional coaching workflows. This study
explores how coaches use GenAI, the perceived benefits and limitations of these
tools, and broader attitudes toward AI-assisted coaching. A survey of 205
coaching professionals reveals widespread adoption of GenAI for research,
content creation, and administrative support, while its role in relational and
interpretative coaching remains limited. Findings indicate that AI literacy and
perceived AI impact strongly predict GenAI adoption, with positive attitudes
fostering greater use. Ethical considerations, particularly transparency and
data privacy, are a key concern, with frequent AI users demonstrating greater
ethical awareness. Regression analyses show that while perceived effectiveness
drives GenAI adoption, concerns about AI replacing human coaches do not
significantly influence usage. Coaches express interest in future AI
capabilities that enhance personalization, real-time feedback, and
administrative automation while maintaining human oversight. The study
highlights that GenAI functions best as an augmentation tool rather than a
replacement, emphasizing the need for AI literacy training, ethical guidelines,
and human-centered AI integration. These findings contribute to the ongoing
discourse on human-AI collaboration, advocating for responsible and effective
AI adoption in professional coaching.",http://arxiv.org/abs/2502.14632v1,http://arxiv.org/pdf/2502.14632v1.pdf,2025-02-20 15:10:05+00:00
A Statistical Case Against Empirical Human-AI Alignment,"Julian Rodemann, Esteban Garces Arias, Christoph Luther, Christoph Jansen, Thomas Augustin","Empirical human-AI alignment aims to make AI systems act in line with
observed human behavior. While noble in its goals, we argue that empirical
alignment can inadvertently introduce statistical biases that warrant caution.
This position paper thus advocates against naive empirical alignment, offering
prescriptive alignment and a posteriori empirical alignment as alternatives. We
substantiate our principled argument by tangible examples like human-centric
decoding of language models.","Empirical human-AI alignment aims to make AI systems act in line with
observed human behavior. While noble in its goals, we argue that empirical
alignment can inadvertently introduce statistical biases that warrant caution.
This position paper thus advocates against naive empirical alignment, offering
prescriptive alignment and a posteriori empirical alignment as alternatives. We
substantiate our principled argument by tangible examples like human-centric
decoding of language models.",http://arxiv.org/abs/2502.14581v1,http://arxiv.org/pdf/2502.14581v1.pdf,2025-02-20 14:12:18+00:00
Less is More: Improving LLM Alignment via Preference Data Selection,"Xun Deng, Han Zhong, Rui Ai, Fuli Feng, Zheng Wang, Xiangnan He","Direct Preference Optimization (DPO) has emerged as a promising approach for
aligning large language models with human preferences. While prior work mainly
extends DPO from the aspect of the objective function, we instead improve DPO
from the largely overlooked but critical aspect of data selection.
Specifically, we address the issue of parameter shrinkage caused by noisy data
by proposing a novel margin-maximization principle for dataset curation in DPO
training. To accurately estimate margins for data selection, we propose a
dual-margin guided approach that considers both external reward margins and
implicit DPO reward margins. Extensive experiments demonstrate that our method
reduces computational cost dramatically while improving performance.
Remarkably, by using just 10\% of the Ultrafeedback dataset, our approach
achieves 3\% to 8\% improvements across various Llama and Mistral series models
on the AlpacaEval 2.0 benchmark. Furthermore, our approach seamlessly extends
to iterative DPO, yielding a roughly 3\% improvement with 25\% online data,
while further reducing training time. These results highlight the potential of
data selection strategies for advancing preference optimization.","Direct Preference Optimization (DPO) has emerged as a promising approach for
aligning large language models with human preferences. While prior work mainly
extends DPO from the aspect of the objective function, we instead improve DPO
from the largely overlooked but critical aspect of data selection.
Specifically, we address the issue of parameter shrinkage caused by noisy data
by proposing a novel margin-maximization principle for dataset curation in DPO
training. To accurately estimate margins for data selection, we propose a
dual-margin guided approach that considers both external reward margins and
implicit DPO reward margins. Extensive experiments demonstrate that our method
reduces computational cost dramatically while improving performance.
Remarkably, by using just 10\% of the Ultrafeedback dataset, our approach
achieves 3\% to 8\% improvements across various Llama and Mistral series models
on the AlpacaEval 2.0 benchmark. Furthermore, our approach seamlessly extends
to iterative DPO, yielding a roughly 3\% improvement with 25\% online data,
while further reducing training time. These results highlight the potential of
data selection strategies for advancing preference optimization.",http://arxiv.org/abs/2502.14560v1,http://arxiv.org/pdf/2502.14560v1.pdf,2025-02-20 13:45:17+00:00
"From Mutation to Degradation: Predicting Nonsense-Mediated Decay with
  NMDEP","Ali Saadat, Jacques Fellay","Nonsense-mediated mRNA decay (NMD) is a critical post-transcriptional
surveillance mechanism that degrades transcripts with premature termination
codons, safeguarding transcriptome integrity and shaping disease phenotypes.
However, accurately predicting NMD efficiency remains challenging, as existing
models often rely on simplistic rule-based heuristics or limited feature sets,
constraining their accuracy and generalizability. Using paired DNA and RNA data
from The Cancer Genome Atlas, we benchmark embedding-only models and
demonstrate that they underperform compared to a simple rule-based approach. To
address this, we develop NMDEP (NMD Efficiency Predictor), an integrative
framework that combines optimized rule-based methods, sequence embeddings, and
curated biological features, achieving state-of-the-art predictive performance.
Through explainable AI, we identify key NMD determinants, reaffirming
established factors such as variant position while uncovering novel
contributors like ribosome loading. Applied to over 2.9 million simulated
stop-gain variants, NMDEP facilitates large-scale mRNA degradation assessments,
advancing variant interpretation and disease research.","Nonsense-mediated mRNA decay (NMD) is a critical post-transcriptional
surveillance mechanism that degrades transcripts with premature termination
codons, safeguarding transcriptome integrity and shaping disease phenotypes.
However, accurately predicting NMD efficiency remains challenging, as existing
models often rely on simplistic rule-based heuristics or limited feature sets,
constraining their accuracy and generalizability. Using paired DNA and RNA data
from The Cancer Genome Atlas, we benchmark embedding-only models and
demonstrate that they underperform compared to a simple rule-based approach. To
address this, we develop NMDEP (NMD Efficiency Predictor), an integrative
framework that combines optimized rule-based methods, sequence embeddings, and
curated biological features, achieving state-of-the-art predictive performance.
Through explainable AI, we identify key NMD determinants, reaffirming
established factors such as variant position while uncovering novel
contributors like ribosome loading. Applied to over 2.9 million simulated
stop-gain variants, NMDEP facilitates large-scale mRNA degradation assessments,
advancing variant interpretation and disease research.",http://arxiv.org/abs/2502.14547v1,http://arxiv.org/pdf/2502.14547v1.pdf,2025-02-20 13:25:08+00:00
MLGym: A New Framework and Benchmark for Advancing AI Research Agents,"Deepak Nathani, Lovish Madaan, Nicholas Roberts, Nikolay Bashlykov, Ajay Menon, Vincent Moens, Amar Budhiraja, Despoina Magka, Vladislav Vorotilov, Gaurav Chaurasia, Dieuwke Hupkes, Ricardo Silveira Cabral, Tatiana Shavrina, Jakob Foerster, Yoram Bachrach, William Yang Wang, Roberta Raileanu","We introduce Meta MLGym and MLGym-Bench, a new framework and benchmark for
evaluating and developing LLM agents on AI research tasks. This is the first
Gym environment for machine learning (ML) tasks, enabling research on
reinforcement learning (RL) algorithms for training such agents. MLGym-bench
consists of 13 diverse and open-ended AI research tasks from diverse domains
such as computer vision, natural language processing, reinforcement learning,
and game theory. Solving these tasks requires real-world AI research skills
such as generating new ideas and hypotheses, creating and processing data,
implementing ML methods, training models, running experiments, analyzing the
results, and iterating through this process to improve on a given task. We
evaluate a number of frontier large language models (LLMs) on our benchmarks
such as Claude-3.5-Sonnet, Llama-3.1 405B, GPT-4o, o1-preview, and Gemini-1.5
Pro. Our MLGym framework makes it easy to add new tasks, integrate and evaluate
models or agents, generate synthetic data at scale, as well as develop new
learning algorithms for training agents on AI research tasks. We find that
current frontier models can improve on the given baselines, usually by finding
better hyperparameters, but do not generate novel hypotheses, algorithms,
architectures, or substantial improvements. We open-source our framework and
benchmark to facilitate future research in advancing the AI research
capabilities of LLM agents.","We introduce Meta MLGym and MLGym-Bench, a new framework and benchmark for
evaluating and developing LLM agents on AI research tasks. This is the first
Gym environment for machine learning (ML) tasks, enabling research on
reinforcement learning (RL) algorithms for training such agents. MLGym-bench
consists of 13 diverse and open-ended AI research tasks from diverse domains
such as computer vision, natural language processing, reinforcement learning,
and game theory. Solving these tasks requires real-world AI research skills
such as generating new ideas and hypotheses, creating and processing data,
implementing ML methods, training models, running experiments, analyzing the
results, and iterating through this process to improve on a given task. We
evaluate a number of frontier large language models (LLMs) on our benchmarks
such as Claude-3.5-Sonnet, Llama-3.1 405B, GPT-4o, o1-preview, and Gemini-1.5
Pro. Our MLGym framework makes it easy to add new tasks, integrate and evaluate
models or agents, generate synthetic data at scale, as well as develop new
learning algorithms for training agents on AI research tasks. We find that
current frontier models can improve on the given baselines, usually by finding
better hyperparameters, but do not generate novel hypotheses, algorithms,
architectures, or substantial improvements. We open-source our framework and
benchmark to facilitate future research in advancing the AI research
capabilities of LLM agents.",http://arxiv.org/abs/2502.14499v1,http://arxiv.org/pdf/2502.14499v1.pdf,2025-02-20 12:28:23+00:00
"Statistical Scenario Modelling and Lookalike Distributions for
  Multi-Variate AI Risk",Elija Perrier,"Evaluating AI safety requires statistically rigorous methods and risk metrics
for understanding how the use of AI affects aggregated risk. However, much AI
safety literature focuses upon risks arising from AI models in isolation,
lacking consideration of how modular use of AI affects risk distribution of
workflow components or overall risk metrics. There is also a lack of
statistical grounding enabling sensitisation of risk models in the presence of
absence of AI to estimate causal contributions of AI. This is in part due to
the dearth of AI impact data upon which to fit distributions. In this work, we
address these gaps in two ways. First, we demonstrate how scenario modelling
(grounded in established statistical techniques such as Markov chains, copulas
and Monte Carlo simulation) can be used to model AI risk holistically. Second,
we show how lookalike distributions from phenomena analogous to AI can be used
to estimate AI impacts in the absence of directly observable data. We
demonstrate the utility of our methods for benchmarking cumulative AI risk via
risk analysis of a logistic scenario simulations.","Evaluating AI safety requires statistically rigorous methods and risk metrics
for understanding how the use of AI affects aggregated risk. However, much AI
safety literature focuses upon risks arising from AI models in isolation,
lacking consideration of how modular use of AI affects risk distribution of
workflow components or overall risk metrics. There is also a lack of
statistical grounding enabling sensitisation of risk models in the presence of
absence of AI to estimate causal contributions of AI. This is in part due to
the dearth of AI impact data upon which to fit distributions. In this work, we
address these gaps in two ways. First, we demonstrate how scenario modelling
(grounded in established statistical techniques such as Markov chains, copulas
and Monte Carlo simulation) can be used to model AI risk holistically. Second,
we show how lookalike distributions from phenomena analogous to AI can be used
to estimate AI impacts in the absence of directly observable data. We
demonstrate the utility of our methods for benchmarking cumulative AI risk via
risk analysis of a logistic scenario simulations.",http://arxiv.org/abs/2502.14491v1,http://arxiv.org/pdf/2502.14491v1.pdf,2025-02-20 12:14:54+00:00
"An Efficient Ground-aerial Transportation System for Pest Control
  Enabled by AI-based Autonomous Nano-UAVs","Luca Crupi, Luca Butera, Alberto Ferrante, Alessandro Giusti, Daniele Palossi","Efficient crop production requires early detection of pest outbreaks and
timely treatments; we consider a solution based on a fleet of multiple
autonomous miniaturized unmanned aerial vehicles (nano-UAVs) to visually detect
pests and a single slower heavy vehicle that visits the detected outbreaks to
deliver treatments. To cope with the extreme limitations aboard nano-UAVs,
e.g., low-resolution sensors and sub-100 mW computational power budget, we
design, fine-tune, and optimize a tiny image-based convolutional neural network
(CNN) for pest detection. Despite the small size of our CNN (i.e., 0.58
GOps/inference), on our dataset, it scores a mean average precision (mAP) of
0.79 in detecting harmful bugs, i.e., 14% lower mAP but 32x fewer operations
than the best-performing CNN in the literature. Our CNN runs in real-time at
6.8 frame/s, requiring 33 mW on a GWT GAP9 System-on-Chip aboard a Crazyflie
nano-UAV. Then, to cope with in-field unexpected obstacles, we leverage a
global+local path planner based on the A* algorithm. The global path planner
determines the best route for the nano-UAV to sweep the entire area, while the
local one runs up to 50 Hz aboard our nano-UAV and prevents collision by
adjusting the short-distance path. Finally, we demonstrate with in-simulator
experiments that once a 25 nano-UAVs fleet has combed a 200x200 m vineyard,
collected information can be used to plan the best path for the tractor,
visiting all and only required hotspots. In this scenario, our efficient
transportation system, compared to a traditional single-ground vehicle
performing both inspection and treatment, can save up to 20 h working time.","Efficient crop production requires early detection of pest outbreaks and
timely treatments; we consider a solution based on a fleet of multiple
autonomous miniaturized unmanned aerial vehicles (nano-UAVs) to visually detect
pests and a single slower heavy vehicle that visits the detected outbreaks to
deliver treatments. To cope with the extreme limitations aboard nano-UAVs,
e.g., low-resolution sensors and sub-100 mW computational power budget, we
design, fine-tune, and optimize a tiny image-based convolutional neural network
(CNN) for pest detection. Despite the small size of our CNN (i.e., 0.58
GOps/inference), on our dataset, it scores a mean average precision (mAP) of
0.79 in detecting harmful bugs, i.e., 14% lower mAP but 32x fewer operations
than the best-performing CNN in the literature. Our CNN runs in real-time at
6.8 frame/s, requiring 33 mW on a GWT GAP9 System-on-Chip aboard a Crazyflie
nano-UAV. Then, to cope with in-field unexpected obstacles, we leverage a
global+local path planner based on the A* algorithm. The global path planner
determines the best route for the nano-UAV to sweep the entire area, while the
local one runs up to 50 Hz aboard our nano-UAV and prevents collision by
adjusting the short-distance path. Finally, we demonstrate with in-simulator
experiments that once a 25 nano-UAVs fleet has combed a 200x200 m vineyard,
collected information can be used to plan the best path for the tractor,
visiting all and only required hotspots. In this scenario, our efficient
transportation system, compared to a traditional single-ground vehicle
performing both inspection and treatment, can save up to 20 h working time.",http://arxiv.org/abs/2502.14455v1,http://arxiv.org/pdf/2502.14455v1.pdf,2025-02-20 11:14:55+00:00
PredictaBoard: Benchmarking LLM Score Predictability,"Lorenzo Pacchiardi, Konstantinos Voudouris, Ben Slater, Fernando Martínez-Plumed, José Hernández-Orallo, Lexin Zhou, Wout Schellaert","Despite possessing impressive skills, Large Language Models (LLMs) often fail
unpredictably, demonstrating inconsistent success in even basic common sense
reasoning tasks. This unpredictability poses a significant challenge to
ensuring their safe deployment, as identifying and operating within a reliable
""safe zone"" is essential for mitigating risks. To address this, we present
PredictaBoard, a novel collaborative benchmarking framework designed to
evaluate the ability of score predictors (referred to as assessors) to
anticipate LLM errors on specific task instances (i.e., prompts) from existing
datasets. PredictaBoard evaluates pairs of LLMs and assessors by considering
the rejection rate at different tolerance errors. As such, PredictaBoard
stimulates research into developing better assessors and making LLMs more
predictable, not only with a higher average performance. We conduct
illustrative experiments using baseline assessors and state-of-the-art LLMs.
PredictaBoard highlights the critical need to evaluate predictability alongside
performance, paving the way for safer AI systems where errors are not only
minimised but also anticipated and effectively mitigated. Code for our
benchmark can be found at
https://github.com/Kinds-of-Intelligence-CFI/PredictaBoard","Despite possessing impressive skills, Large Language Models (LLMs) often fail
unpredictably, demonstrating inconsistent success in even basic common sense
reasoning tasks. This unpredictability poses a significant challenge to
ensuring their safe deployment, as identifying and operating within a reliable
""safe zone"" is essential for mitigating risks. To address this, we present
PredictaBoard, a novel collaborative benchmarking framework designed to
evaluate the ability of score predictors (referred to as assessors) to
anticipate LLM errors on specific task instances (i.e., prompts) from existing
datasets. PredictaBoard evaluates pairs of LLMs and assessors by considering
the rejection rate at different tolerance errors. As such, PredictaBoard
stimulates research into developing better assessors and making LLMs more
predictable, not only with a higher average performance. We conduct
illustrative experiments using baseline assessors and state-of-the-art LLMs.
PredictaBoard highlights the critical need to evaluate predictability alongside
performance, paving the way for safer AI systems where errors are not only
minimised but also anticipated and effectively mitigated. Code for our
benchmark can be found at
https://github.com/Kinds-of-Intelligence-CFI/PredictaBoard",http://arxiv.org/abs/2502.14445v1,http://arxiv.org/pdf/2502.14445v1.pdf,2025-02-20 10:52:38+00:00
